feature,importance,importance_pct
success_rate_last_10,0.05166051660516606,5.166051660516606
success_rate_today,0.04797047970479705,4.797047970479705
action_effectiveness_score,0.04797047970479705,4.797047970479705
incidents_last_1h,0.04428044280442804,4.428044280442804
failure_rate_last_10,0.04428044280442804,4.428044280442804
type_action_success_rate,0.04059040590405904,4.059040590405904
action_historical_success_rate,0.04059040590405904,4.059040590405904
diagnosis_code_encoded,0.03690036900369004,3.6900369003690034
incidents_last_24h,0.03690036900369004,3.6900369003690034
time_since_last_min,0.03690036900369004,3.6900369003690034
rolling_frequency,0.033210332103321034,3.3210332103321036
retry_count_1h,0.033210332103321034,3.3210332103321036
strategy_encoded,0.033210332103321034,3.3210332103321036
escalation_flag,0.029520295202952032,2.9520295202952034
last_action_success,0.029520295202952032,2.9520295202952034
incident_type_encoded,0.029520295202952032,2.9520295202952034
hour_of_day,0.029520295202952032,2.9520295202952034
day_of_week,0.02583025830258303,2.583025830258303
last_action_taken_encoded,0.02214022140221402,2.214022140221402
incidents_last_7d,0.02214022140221402,2.214022140221402
logs_count,0.02214022140221402,2.214022140221402
action_type_encoded,0.02214022140221402,2.214022140221402
logs_count_normalized,0.02214022140221402,2.214022140221402
original_type_encoded,0.02214022140221402,2.214022140221402
severity_encoded,0.02214022140221402,2.214022140221402
source_category_encoded,0.01845018450184502,1.8450184501845017
source_encoded,0.01845018450184502,1.8450184501845017
metrics_count,0.01845018450184502,1.8450184501845017
metrics_count_normalized,0.01845018450184502,1.8450184501845017
month,0.014760147601476016,1.4760147601476017
day_of_month,0.014760147601476016,1.4760147601476017
has_data,0.014760147601476016,1.4760147601476017
incidents_7d_normalized,0.01107011070110701,1.107011070110701
time_since_last_normalized,0.01107011070110701,1.107011070110701
incidents_1h_normalized,0.01107011070110701,1.107011070110701
incidents_24h_normalized,0.01107011070110701,1.107011070110701
retry_count_normalized,0.01107011070110701,1.107011070110701
